ICAO,Airport Name,City,State,Country,Airport Link
,Abbeville,Abbeville,SC ,USA,https://acukwik.com/Airport-Info/SC81
KIYA,Abbeville Chris Crusta Memorial,Abbeville,LA ,USA,https://acukwik.com/Airport-Info/KIYA
,Abbeville County Memorial Hospital,Abbeville,SC ,USA,https://acukwik.com/Airport-Info/SC83
,Abbeville General Hospital,Abbeville,LA ,USA,https://acukwik.com/Airport-Info/LA95
,Abbeville Municipal,Abbeville,AL ,USA,https://acukwik.com/Airport-Info/0J0
,Ken Guidry Nr 1,Abbeville,LA ,USA,https://acukwik.com/Airport-Info/LS68
,Live Oak Landing Strip,Abbeville,LA ,USA,https://acukwik.com/Airport-Info/LA60
,Ms Pats,Abbeville,LA ,USA,https://acukwik.com/Airport-Info/35LA
,Omni Mouton Cove,Abbeville,LA ,USA,https://acukwik.com/Airport-Info/18LS
,Rambos Field,Abbeville,SC ,USA,https://acukwik.com/Airport-Info/SC92
,Aberdeen Municipal,Aberdeen,ID ,USA,https://acukwik.com/Airport-Info/U36
KABR,Aberdeen Regional,Aberdeen,SD ,USA,https://acukwik.com/Airport-Info/KABR
,Avera St Luke's,Aberdeen,SD ,USA,https://acukwik.com/Airport-Info/SD54
,Barber Field,Aberdeen,SD ,USA,https://acukwik.com/Airport-Info/30SD
,Braun,Aberdeen,SD ,USA,https://acukwik.com/Airport-Info/SD32
,Comstock Field,Aberdeen,SD ,USA,https://acukwik.com/Airport-Info/80SD
,Harbor Regional Health,Aberdeen,WA ,USA,https://acukwik.com/Airport-Info/WT00
KAPG,Phillips AAF Aberdeen Proving Ground,Aberdeen,MD ,USA,https://acukwik.com/Airport-Info/KAPG
,Rite Aid Distribution Center,Aberdeen,MD ,USA,https://acukwik.com/Airport-Info/8MD1
,Thorson Airfield,Aberdeen,SD ,USA,https://acukwik.com/Airport-Info/SD05
,Wishkah River Ranch,Aberdeen,WA ,USA,https://acukwik.com/Airport-Info/94WA
,Monroe County,Aberdeen/Amory,MS ,USA,https://acukwik.com/Airport-Info/M40
,Abilene Exec Airpark,Abilene,TX ,USA,https://acukwik.com/Airport-Info/TX00
,Abilene Municipal,Abilene,KS ,USA,https://acukwik.com/Airport-Info/K78
KABI,Abilene Regional,Abilene,TX ,USA,https://acukwik.com/Airport-Info/KABI
,Abilene Regional Medical Center,Abilene,TX ,USA,https://acukwik.com/Airport-Info/4TX1
KDYS,Dyess AFB,Abilene,TX ,USA,https://acukwik.com/Airport-Info/KDYS
,Elmdale Airpark,Abilene,TX ,USA,https://acukwik.com/Airport-Info/82TS
,Flying B Ranch Airstrip,Abilene,TX ,USA,https://acukwik.com/Airport-Info/35TX
,Hendrick Medical Center,Abilene,TX ,USA,https://acukwik.com/Airport-Info/TA38
KVJI,Virginia Highlands,Abingdon,VA ,USA,https://acukwik.com/Airport-Info/KVJI
,Wolford's,Abingdon,IL ,USA,https://acukwik.com/Airport-Info/IL01
,Abington Memorial Hospital,Abington,PA ,USA,https://acukwik.com/Airport-Info/PN03
,Gm,Aboite,IN ,USA,https://acukwik.com/Airport-Info/25II
,Punton Private,Absaraka,ND ,USA,https://acukwik.com/Airport-Info/ND07
,Coleman Cattle Company Nr 1,Ackerly,TX ,USA,https://acukwik.com/Airport-Info/75TA
,Ackerman Choctaw County,Ackerman,MS ,USA,https://acukwik.com/Airport-Info/9M4
,Ackley Municipal,Ackley,IA ,USA,https://acukwik.com/Airport-Info/4C7
,Acme Field,Acme,WA ,USA,https://acukwik.com/Airport-Info/WA12
,Acme Skyport,Acme,MI ,USA,https://acukwik.com/Airport-Info/57MI
,Buzzy's Field,Acton,ME ,USA,https://acukwik.com/Airport-Info/ME89
,Nadeau's Airfield,Acton,ME ,USA,https://acukwik.com/Airport-Info/02ME
,Vincent Substation,Acton,CA ,USA,https://acukwik.com/Airport-Info/26CN
,Ada,Ada,OH ,USA,https://acukwik.com/Airport-Info/0D7
KADH,Ada Municipal,Ada,OK ,USA,https://acukwik.com/Airport-Info/KADH
,Chickasaw Nation Medical Center,Ada,OK ,USA,https://acukwik.com/Airport-Info/19OK
,Essential Health - Ada,Ada,MN ,USA,https://acukwik.com/Airport-Info/7MN7
,Fox Hollow,Ada,MI ,USA,https://acukwik.com/Airport-Info/80MI
,Hammars Farm,Ada,MN ,USA,https://acukwik.com/Airport-Info/MN01
,Mercy Hospital,Ada,OK ,USA,https://acukwik.com/Airport-Info/37OK
,Norman County Ada/Twin Valley,Ada,MN ,USA,https://acukwik.com/Airport-Info/D00
,Somerville,Ada,MI ,USA,https://acukwik.com/Airport-Info/2MI5
,Valley,Ada,OK ,USA,https://acukwik.com/Airport-Info/3OK0
,Grand Isle,Adair,OK ,USA,https://acukwik.com/Airport-Info/OK18
,Stagecoach,Adair,IA ,USA,https://acukwik.com/Airport-Info/IA43
PADK,Adak Island,Adak Island,AK ,USA,https://acukwik.com/Airport-Info/PADK
,Davis,Adams,OR ,USA,https://acukwik.com/Airport-Info/OR18
,Graham Farm,Adams Mills,OH ,USA,https://acukwik.com/Airport-Info/OH82
,Davis Family Furniture,Adamsburg,PA ,USA,https://acukwik.com/Airport-Info/3PA5
,Addison Municipal,Addison,AL ,USA,https://acukwik.com/Airport-Info/2A8
,Ass-Pirin Acres,Addison,VT ,USA,https://acukwik.com/Airport-Info/VT11
,Juergensen Airpark And Maritime Facility,Addison,PA ,USA,https://acukwik.com/Airport-Info/PS27
,Spencer,Addison,VT ,USA,https://acukwik.com/Airport-Info/VT09
,Towner Farm,Addison,NY ,USA,https://acukwik.com/Airport-Info/2NY7
,Bluecreek,Addy,WA ,USA,https://acukwik.com/Airport-Info/WA57
,Cook County,Adel,GA ,USA,https://acukwik.com/Airport-Info/15J
,Jungmanns Landing,Adel,IA ,USA,https://acukwik.com/Airport-Info/2IA7
,Adelanto,Adelanto,CA ,USA,https://acukwik.com/Airport-Info/52CL
,Hansen,Adelanto,CA ,USA,https://acukwik.com/Airport-Info/11CL
,Ipp Adelanto,Adelanto,CA ,USA,https://acukwik.com/Airport-Info/CA12
,Krey Field,Adelanto,CA ,USA,https://acukwik.com/Airport-Info/0CL1
,Adin,Adin,CA ,USA,https://acukwik.com/Airport-Info/A26
,Adin Helicopter Base,Adin,CA ,USA,https://acukwik.com/Airport-Info/1CA8
,Angle Bar M,Adrian,MO ,USA,https://acukwik.com/Airport-Info/MU07
,Canadian River Ranch,Adrian,TX ,USA,https://acukwik.com/Airport-Info/46XS
KADG,Lenawee County,Adrian,MI ,USA,https://acukwik.com/Airport-Info/KADG
,Promedica Hickman Hospital,Adrian,MI ,USA,https://acukwik.com/Airport-Info/4MI0
,Marchmont Plantation Airpark,Advance,NC ,USA,https://acukwik.com/Airport-Info/6NC8
,Riverside Farm,Advance,NC ,USA,https://acukwik.com/Airport-Info/30NC
KAFO,Afton Municipal,Afton,WY ,USA,https://acukwik.com/Airport-Info/KAFO
,Grand Lake Regional,Afton,OK ,USA,https://acukwik.com/Airport-Info/3O9
,Heiner,Afton,WY ,USA,https://acukwik.com/Airport-Info/WY60
,North Fork,Afton,NY ,USA,https://acukwik.com/Airport-Info/8NY3
,Walker Field,Afton,MN ,USA,https://acukwik.com/Airport-Info/MY35
,Metrogro Farm,Agate,CO ,USA,https://acukwik.com/Airport-Info/CO25
,Tgp,Agawam,MA ,USA,https://acukwik.com/Airport-Info/MA67
,Agua Caliente Springs,Agua Caliente Springs,CA ,USA,https://acukwik.com/Airport-Info/L54
,Agua Dulce,Agua Dulce,CA ,USA,https://acukwik.com/Airport-Info/L70
,Camp 11,Agua Dulce,CA ,USA,https://acukwik.com/Airport-Info/CL59
,Old Hoppe Place,Agua Dulce,TX ,USA,https://acukwik.com/Airport-Info/67T
,Eagle Roost Airpark,Aguila,AZ ,USA,https://acukwik.com/Airport-Info/27AZ
,Flying Dares Ranch,Aguila,AZ ,USA,https://acukwik.com/Airport-Info/26AZ
,Sampleys,Aguila,AZ ,USA,https://acukwik.com/Airport-Info/28AZ
,Dragonfly Field,Ahoskie,NC ,USA,https://acukwik.com/Airport-Info/15NC
,ECU Health Roanoke Chowan,Ahoskie,NC ,USA,https://acukwik.com/Airport-Info/36NR
,Rat Landing,Ahoskie,NC ,USA,https://acukwik.com/Airport-Info/NC18
KASJ,Tri-County At Henry Joyner Field,Ahoskie,NC ,USA,https://acukwik.com/Airport-Info/KASJ
,Dworshak,Ahsahka,ID ,USA,https://acukwik.com/Airport-Info/ID46
KAIK,Aiken Regional,Aiken,SC ,USA,https://acukwik.com/Airport-Info/KAIK
